PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Potency,Efficacy,Analysis Comment,Activity_Score,Curve_Description,Fit_LogAC50,Fit_HillSlope,Fit_R2,Fit_InfiniteActivity,Fit_ZeroActivity,Fit_CurveClass,Excluded_Points,Max_Response,Activity at 0.00132 uM,Activity at 0.00295 uM,Activity at 0.00635 uM,Activity at 0.015 uM,Activity at 0.029 uM,Activity at 0.033 uM,Activity at 0.074 uM,Activity at 0.159 uM,Activity at 0.369 uM,Activity at 0.794 uM,Activity at 1.840 uM,Activity at 3.690 uM,Activity at 4.120 uM,Activity at 9.220 uM,Activity at 19.84 uM,Activity at 46.10 uM,Activity at 92.20 uM,Compound QC
6,103060717,49786787,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=C(C=C3)OC)OC)C4=CC(=CC=C4)OC,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124315-01/135603812,,Activator,20.5962,47.7632,,10,Single point of activity,-4.6862,1.9887,0.9945,46.6926,-1.0706,3,0 0 0 0 0 0 0,38.9143,,-1.5747,,-2.8999,,,0.5433,,-1.5748,,0.075,,,6.4155,,38.9143,,QC'd by Evotec San Francisco
7,103060721,49786790,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=C(C=C3)OC)OC)C4=CC(=CC=C4)C(=O)NCCO,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124208-01/135606110,,Inactive,,,,0,,-4.8862,1.5579,0.9959,31.5,-1.499,4,0 0 0 0 0 0 0,27.4849,,-1.6776,,-2.0825,,,0.0795,,-1.1833,,-0.3019,,,10.5088,,27.4849,,QC'd by Evotec San Francisco
8,103060755,49786815,CN(C)C1=CC=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=CC=C4)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124135-01/135604503,,Inactive,,,,0,,,3.5722,0.9919,28.5,-1.4567,4,0 0 0 0 0 0 0,27.4638,,-3.2972,,-0.7052,,,-1.0126,,-2.6039,,-0.858,,,1.0423,,27.4638,,QC'd by Evotec San Francisco
9,103060876,49786898,CC(C1=CC(=CC=C1)F)(C2=NC(=CS2)C3=CC=CC(=C3)COC)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122777-01/135603616,,Inactive,,,,0,,,,,,,4,,0.4476,,-1.5408,,-1.6786,,,0.1966,,-1.3619,,-0.4419,,,-1.1289,,0.4476,,QC'd by Evotec San Francisco
10,103060914,49786926,COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=C(C=C4)S(=O)(=O)C)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124128-01/135604784,,Activator,7.3078,34.483,,21,Partial curve; partial efficacy,-5.1362,1.1705,0.9977,33.5,-0.983,2.2,0 0 0 0 0 0 0,30.144,,-1.1909,,-2.0691,,,0.0076,,-0.1241,,4.6053,,,18.45,,30.144,,QC'd by Evotec San Francisco
11,103073386,49789130,CC(=O)C1=CC=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=CC=C4)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124113-01/135606180,,Activator,10.3225,48.3891,,21,Partial curve; partial efficacy,-4.9862,1.8851,0.9986,46.7413,-1.6478,2.2,0 0 0 0 0 0 0,43.864,,-0.9132,,-2.3637,,,-0.4722,,-1.6815,,0.1637,,,19.7594,,43.864,,QC'd by Evotec San Francisco
12,103073483,49789187,CN1C=C(C=N1)C2=C3C=COC3=C(C=C2)C(=O)NCC4=CC(=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120465-01/135606126,,Inactive,,,,0,,,4.5045,0.9935,15,-1.0898,4,0 0 0 0 0 0 0,14.5875,,-1.3824,,-1.7415,,,-0.3008,,-1.1291,,-0.6193,,,-0.6592,,14.5875,,QC'd by Evotec San Francisco
13,103073542,49789227,C1=CC2=C(C(=C1)C(=O)NCC3=CC=CO3)OC=C2C4=CC(=C(C=C4)F)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120476-01/135604360,,Inactive,,,,0,,,2.3031,0.9797,18.5,-1.5619,4,0 0 0 0 0 0 0,15.6066,,-2.0803,,-2.9683,,,-0.252,,-1.1547,,-0.5612,,,1.2557,,15.6066,,QC'd by Evotec San Francisco
14,103073607,49789265,CC(=O)NC(C)(C1=CC=CC=C1)C2=NC(=CS2)C3=CC4=CC=CC=C4N=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122607-01/135605229,,Inactive,,,,0,,,1.9887,0.9365,11.5,-1.1937,4,0 0 0 0 0 0 0,8.361,,-3.0781,,-1.4136,,,-0.5798,,-1.2027,,0.016,,,0.1663,,8.361,,QC'd by Evotec San Francisco
15,103073696,49789320,CC1(CC2=C(C=CN=C2O1)C3=CC(=CC=C3)C(F)(F)F)C(=O)NC4=CN=C(C=C4)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120444-01/135604961,,Inactive,,,,0,,,2.6384,0.9483,8,-1.5198,4,0 0 0 0 0 0 0,6.6008,,-2.9332,,-1.6961,,,-1.8952,,-1.7408,,-0.5119,,,-0.7176,,6.6008,,QC'd by Evotec San Francisco
16,103073748,49789349,CC(C)N(C)C1=NC=NC2=C1N=CN2[C@H]3CN(C[C@H](O3)CO)CC4=CC=CS4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120831-01/135604287,,Inactive,,,,0,,,2.0937,0.9765,10.5,-1.7926,4,0 0 0 0 0 0 0,8.3251,,-2.3271,,-1.9365,,,-1.2989,,-1.6372,,-0.5578,,,-0.2257,,8.3251,,QC'd by Evotec San Francisco
17,103073821,49789398,C1CC1CNC2=NC3=C(C(=N2)NC4=CC=CC=C4Cl)SC=C3,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122896-01/135605004,,Inactive,,,,0,,,4.4495,0.8229,5,-0.9231,4,0 0 0 0 0 0 0,4.9906,,-1.2699,,-2.436,,,-0.0457,,-0.8246,,0.813,,,-0.5859,,4.9906,,QC'd by Evotec San Francisco
18,103073853,49789415,CCC1=C(N2C=C(C=CC2=N1)C(=O)NC3=CC(=C(C=C3)OC)OC)N(CC)CC4=CC(=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003121317-01/135606101,,Inactive,,,,0,,,3.6272,0.9685,13.5,-1.4778,4,0 0 0 0 0 0 0,12.8862,,-2.8982,,-1.9957,,,-1.349,,-2.1422,,0.2611,,,-0.3407,,12.8862,,QC'd by Evotec San Francisco
19,103074335,6858710,C1=CC=C(C(=C1)/C=N/N2C(=NN=N2)N)Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001203358-01/135605281,,Inactive,,,,0,,,,,,,4,,-0.6114,,-3.2439,,-1.7501,,,-2.2674,,-2.6144,,-0.5508,,,-1.8803,,-0.6114,,QC'd by Asinex Ltd.
20,103074903,9586725,CC(C)(C)C1=CC=C(C=C1)C(=O)O/N=C(/CC2=CC=CS2)\N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001125828-01/135603742,,Inactive,,,,0,,-4.9862,1.8265,0.9949,31.5,-1.4316,4,0 0 0 0 0 0 0,29.7427,,-1.382,,-2.8596,,,-0.0705,,-1.422,,-0.629,,,12.8621,,29.7427,,QC'd by ChemBridge
21,103075010,49790189,COC1=CC=CC=C1C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC=C(C=C4)S(=O)(=O)C,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124105-01/135604143,,Activator,6.5131,45.6355,,21,Partial curve; partial efficacy,-5.1862,1.6259,0.9995,43.3795,-2.256,2.2,0 0 0 0 0 0 0,42.0883,,-2.344,,-1.7682,,,-1.969,,-1.8399,,2.3922,,,26.5186,,42.0883,,QC'd by Evotec San Francisco
22,103075585,49790612,C1=CC2=C(C(=C1)C(=O)NCC3=CC=CS3)OC=C2C4=CN=CC=C4,Active,42,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120618-01/135605821,,Activator,9.2,53.6153,,42,Partial curve; partial efficacy,-5.0362,1.3437,0.9797,79.3467,25.7314,2.2,0 0 0 0 0 0 0,73.627,,24.802,,29.8971,,,27.4237,,21.7986,,32.2746,,,52.6359,,73.627,,QC'd by Evotec San Francisco
23,103075606,49790629,COC1=C(C=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC=C(C=C4)F)OC,Inconclusive,23,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124131-01/135604740,,Activator,2.3109,57.3414,,23,Complete curve; partial efficacy,-5.6362,4.9549,0.9849,55.3468,-1.9947,1.2,0 0 0 0 0 0 0,50.367,,-2.2915,,-3.5507,,,-0.1917,,-1.1435,,10.3719,,,61.1271,,50.367,,QC'd by Evotec San Francisco
24,103075847,49790770,CN1C=C(C=N1)C2=COC3=C2C=CC=C3C(=O)NCC4=CC(=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120505-01/135603748,,Inactive,,,,0,,,2.0937,0.9874,23.5,-1.3601,4,0 0 0 0 0 0 0,18.6544,,-1.3458,,-2.8001,,,-0.0917,,-1.1048,,-0.569,,,1.8596,,18.6544,,QC'd by Evotec San Francisco
25,103076079,49790914,CC1(CCN1CC2=CC=C(C=C2)SC)C(=O)NC3=C(C=CC(=C3)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003118006-01/135606156,,Inactive,,,,0,,,2.3531,0.7874,3.5,-1.0154,4,0 0 0 0 0 0 0,2.5207,,-1.6427,,-2.5128,,,-0.3093,,-0.6295,,-0.8195,,,-0.6873,,2.5207,,QC'd by Evotec San Francisco
26,103076343,49791103,CC(C1=CC(=CC=C1)OC)(C2=NC(=CS2)C3=CC(=C(C=C3)OC)OC)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122430-01/135604712,,Inactive,,,,0,,,2.0937,0.9515,15,-0.7489,4,0 0 0 0 0 0 0,11.9826,,-1.5475,,-2.2908,,,1.0773,,-0.9678,,0.0371,,,1.4226,,11.9826,,QC'd by Evotec San Francisco
27,103076594,49791278,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=C(C=C3)OC)OC)C4=CC=C(C=C4)C(=O)NC5CC5,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124326-01/135605807,,Inactive,,,,0,,-4.7362,1.3987,0.9955,31.5,-1.9914,4,0 0 0 0 0 0 0,24.5852,,-2.4929,,-1.7814,,,-1.9461,,-1.427,,0.5957,,,6.6564,,24.5852,,QC'd by Evotec San Francisco
28,103076667,49791334,CC1(CCN1CC2=CC=C(C3=CC=CC=C23)OC)C(=O)NC4=CC(=C(C=C4)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003118010-01/135605759,,Inactive,,,,0,,,1.3987,0.9874,24,-1.5813,4,0 0 0 0 0 0 0,17.7833,,-2.9844,,-1.9261,,,-1.8514,,-1.3136,,0.4243,,,3.9818,,17.7833,,QC'd by Evotec San Francisco
29,103076837,49791464,CC1=CC(=C(C=C1)NC2=NC(=NC3=C2SC=C3)NCCOC)C,Active,42,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122904-01/135605373,,Activator,9.2,88.2651,,42,Partial curve; partial efficacy,-5.0362,0.9,0.9845,85.9268,-2.3383,2.2,0 0 0 0 0 0 0,71.7988,,-2.4295,,-1.4382,,,-1.0726,,-1.0521,,19.8965,,,36.7673,,71.7988,,QC'd by Evotec San Francisco
30,103158740,49792156,CC(C1=CC=CC=C1)(C2=NC(=CS2)C3=CC(=C(C=C3)OC)OC)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122428-01/135605946,,Inactive,,,,0,,,2.3531,0.934,11.5,-1.067,4,0 0 0 0 0 0 0,9.0544,,-1.3117,,-2.9725,,,-0.6687,,-1.6745,,0.3987,,,-0.1923,,9.0544,,QC'd by Evotec San Francisco
31,103158792,49792190,CC1(CC2=C(C=CN=C2O1)C3=CC4=C(C=C3)OCO4)C(=O)NC5=CC6=C(C=C5)OCO6,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120028-01/135604068,,Activator,18.3564,49.7011,,21,Partial curve; partial efficacy,-4.7362,1.6924,0.9975,48.4835,-1.2175,2.2,0 0 0 0 0 0 0,39.6897,,-1.5548,,-2.5864,,,-0.0597,,-1.6272,,-0.2511,,,10.6666,,39.6897,,QC'd by Evotec San Francisco
32,103158834,24687587,C1COCCN1C2=C(C=C(C=C2)[N+](=O)[O-])C(=O)OCC3=CC=C(C=C3)Br,Inconclusive,10,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001099403-01/135603652,,Activator,18.3564,44.1868,,10,Single point of activity,-4.7362,3.6272,0.9977,42.9524,-1.2344,3,0 0 0 0 0 0 0,41.6138,,-1.1495,,-2.523,,,-0.1118,,-1.2415,,-0.5065,,,2.3028,,41.6138,,QC'd by UrkORgSynthesis Ltd
33,103159112,49792387,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC=CC=C3)C4=CC=CC=C4F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124312-01/135604626,,Inactive,,,,0,,,3.5117,0.8031,5,-1.0871,4,0 0 0 0 0 0 0,3.6513,,-0.5718,,-2.9892,,,-0.2925,,-1.5551,,-0.4809,,,-1.1112,,3.6513,,QC'd by Evotec San Francisco
34,103159501,49792667,CS(=O)(=O)C1=CC=C(C=C1)NC2=NC(=CS2)C(C3=CC=CC=C3)N,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003123785-01/135605271,,Inactive,,,,0,,,,,,,4,,0.347,,-2.7587,,-1.8508,,,-1.6918,,-1.5582,,0.0214,,,-1.2921,,0.347,,QC'd by Evotec San Francisco
35,103159591,49792733,CC1(CC2=C(C=CN=C2O1)C3=CC4=C(C=C3)OCO4)C(=O)NC5=CC=C(C=C5)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003120021-01/135605476,,Inactive,,,,0,,,4.4495,0.9767,14.5,-1.3459,4,0 0 0 0 0 0 0,13.3276,,-1.5627,,-3.2049,,,-0.4013,,-1.4161,,-1.0462,,,-1.3014,,13.3276,,QC'd by Evotec San Francisco
36,103159713,49792814,C=CCOC1=C(C=C(C=C1)Cl)C2=NOC(=N2)C3=CSC(=N3)[C@H]4C[C@@H]([C@H](O4)CO)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003119227-01/135605540,,Inactive,,,,0,,,1.6436,0.9447,12,-0.5662,4,0 0 0 0 0 0 0,8.5724,,-0.2098,,-2.1385,,,-0.1985,,-0.8321,,0.727,,,1.2372,,8.5724,,QC'd by Evotec San Francisco
37,103159720,49792818,CS(=O)(=O)C1=CC=C(C=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CSC=C4,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124104-01/135604348,,Inactive,,,,0,,,4.9549,0.9915,20,-1.3102,4,0 0 0 0 0 0 0,19.9136,,-1.6909,,-2.3418,,,-0.192,,-1.7991,,-0.5532,,,-0.1164,,19.9136,,QC'd by Evotec San Francisco
38,103162591,49795178,COC1=CC=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=C(C=C4)OC)OC,Active,41,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124129-01/135603636,,Activator,18.3564,106.038,,41,Partial curve; high efficacy,-4.7362,1.6924,0.998,104.996,-1.0417,2.1,0 0 0 0 0 0 0,86.6306,,-1.9604,,-2.9836,,,-0.2248,,-0.7498,,3.7482,,,23.765,,86.6306,,QC'd by Evotec San Francisco
39,103162602,49795186,CN(C)CCNC(=O)C1=CC=CC(=C1)C2=CN=C3N2C=C(C=C3NC=O)C4=CC(=CC=C4)F,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124152-01/135605684,,Inactive,,,,0,,,2.9523,0.9578,8.5,-1.8219,4,0 0 0 0 0 0 0,7.6,,-1.7544,,-3.1849,,,-0.7594,,-1.6207,,-1.3426,,,-0.8803,,7.6,,QC'd by Evotec San Francisco
40,103162737,49795257,CC(C)NC1=NC2=C(C(=N1)NC3=CC=CC=C3Cl)SC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122937-01/135603825,,Inactive,,,,0,,,4.095,0.9509,6,-2.2403,4,0 0 0 0 0 0 0,5.7143,,-3.1169,,-2.3733,,,-2.0822,,-1.7645,,-0.9723,,,-1.5382,,5.7143,,QC'd by Evotec San Francisco
41,103162799,49795298,C1=CC=C(C=C1)C2=CSC(=N2)C(C3=CC=CC=C3)O,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122275-01/135603738,,Inactive,,,,0,,,,,,,4,,-0.2046,,-1.8842,,-3.2317,,,-0.4047,,-1.427,,-1.3254,,,-1.4008,,-0.2046,,QC'd by Evotec San Francisco
42,103162834,1149692,COC1=C(C=C(C=C1)C(=O)NCC2(CCCC2)C3=CC(=C(C=C3)OC)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS001212097-01/135604843,,Inactive,,,,0,,,2.9023,0.9874,16.5,-0.8903,4,0 0 0 0 0 0 0,14.4802,,-1.9919,,-1.0659,,,-1.3576,,-1.0149,,0.1735,,,0.341,,14.4802,,QC'd by Asinex Ltd.
43,103162870,49795334,COCCNC1=NC2=C(C(=N1)NC3=CC=CC=C3Cl)SC=C2,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003122923-01/135605108,,Inactive,,,,0,,,3.6772,0.9383,7.5,-1.3815,4,0 0 0 0 0 0 0,7.0807,,-1.7368,,-2.8179,,,-0.2287,,-0.9675,,-0.8546,,,-0.8348,,7.0807,,QC'd by Evotec San Francisco
44,103162879,49795340,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC(=C(C=C3)OC)OC)C4=CC(=CC=C4)NS(=O)(=O)C,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124325-01/135603743,,Inactive,,,,0,,-4.6862,1.5936,0.9887,36,-2.0293,4,0 0 0 0 0 0 0,27.919,,-3.3578,,-2.2757,,,-1.5224,,-1.6331,,1.175,,,5.6703,,27.919,,QC'd by Evotec San Francisco
45,103162960,49795390,COC1=CC(=C(C=C1)C2=CN3C(=CN=C3C(=C2)NC=O)C4=CC(=CC=C4)OC)OC,Inconclusive,21,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124144-01/135605305,,Activator,9.2,57.2023,,21,Partial curve; partial efficacy,-5.0362,1.5579,0.9972,55.6747,-1.5276,2.2,0 0 0 0 0 0 0,51.9937,,-2.5602,,-1.4183,,,-1.0661,,-1.3297,,4.3386,,,25.3525,,51.9937,,QC'd by Evotec San Francisco
46,103163017,4802791,CC1CC2=CC=CC=C2N1C(=O)COC(=O)CC3=CC(=C(C=C3)OC)OC,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS002156378-01/135605364,,Inactive,,,,0,,,,,,,4,,-0.2908,,-2.0083,,-3.1051,,,-0.3829,,-1.26,,-0.5731,,,-0.935,,-0.2908,,QC'd by Enamine
47,103163151,49795519,CC(=O)NC1=CC(=CN2C1=NC=C2C3=CC=C(C=C3)S(=O)(=O)C)C4=CC=CC=C4Cl,Inactive,0,http://assay.nih.gov/htsws/rest/display/glp1r-agonist-f1-cherrypick/MLS003124169-01/135603784,,Inactive,,,,0,,-4.6362,1.8079,0.9931,34,-1.8551,4,0 0 0 0 0 0 0,26.2871,,-1.9704,,-3.2126,,,-0.4257,,-1.825,,-0.7943,,,3.6091,,26.2871,,QC'd by Evotec San Francisco
